A;B;C;D;E;F
Season;Player;CL_Goals;CL_Asts;CL_Aps;CL_Mins
2022;Messi;5;0;7;630
2022;Ronaldo;6;0;7;612
2021;Messi;5;2;6;540
2021;Ronaldo;4;2;6;570
2020;Messi;3;4;8;661
2020;Ronaldo;4;1;8;712
2019;Messi;12;3;10;837
2019;Ronaldo;6;2;9;749
2018;Messi;6;2;10;783
2018;Ronaldo;15;3;13;1170
2017;Messi;11;2;9;810
2017;Ronaldo;12;5;13;1200
2016;Messi;6;1;7;630
2016;Ronaldo;16;4;12;1109
2015;Messi;10;6;13;1145
2015;Ronaldo;10;4;12;1064
2014;Messi;8;1;7;630
2014;Ronaldo;17;6;11;991
2013;Messi;8;3;11;827
2013;Ronaldo;12;1;12;1080
2012;Messi;14;9;11;990
2012;Ronaldo;10;4;10;930
2011;Messi;12;4;13;1050
2011;Ronaldo;6;4;12;1018
2010;Messi;8;0;11;985
2010;Ronaldo;7;2;6;450
